,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,twitter_handle
661,5451.json,FALSE,We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor.,"public-safety,state-budget,unions",ken-allen,,,democrat,0,1,0,0,0,a guest column,K_Factionrec
662,3871.json,FALSE,"The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.","crime,ethics",cory-booker,U.S. senator,New Jersey,democrat,0,4,2,8,0,a radio interview on the Brian Lehrer show,CoryBooker
663,1458.json,barely-true,Says his executive order requiring young girls to be vaccinated against HPV wasnt mandatory.,"families,health-care",rick-perry,Governor,Texas,republican,30,30,42,23,18,a debate,SecretaryPerry
664,2311.json,TRUE,Says a highway was closed in El Paso because of bullets flying across the border.,"crime,drugs,homeland-security",greg-abbott,governor,Texas,republican,11,3,8,6,5,an interview,GregAbbott_TX
665,7179.json,FALSE,"If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.","economy,families,federal-budget,income,taxes",barack-obama,President,Illinois,democrat,70,71,160,163,9,a report,BarackObama
666,9247.json,mostly-true,95 percent of the income gains in the last few years have gone to the top 1 percent.,"income,jobs",neera-tanden,President of the Center for American Progress,,newsmaker,0,0,0,1,0,"comments on NBC's ""Meet the Press""",neeratanden
667,9873.json,TRUE,"Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.","diversity,elections,population",chuck-todd,MSNBC political reporter,,none,0,0,1,1,0,"a comment on ""Meet the Press.""",chucktodd
668,11713.json,barely-true,We didnt go out and take information from the Hillary Clinton campaign.,elections,bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"an interview on NBC's ""Meet the Press"".",
669,1044.json,pants-fire,"If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.",religion,barack-obama,President,Illinois,democrat,70,71,160,163,9,interview with Canal Plus Television,BarackObama
670,1919.json,half-true,On the pace that we're on with job creation in the last four months ...we will have created more jobs in this year than in the entire Bush Presidency.,"bush-administration,economy",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7,9,8,15,3,an interview on FOX.,DWStweets
671,10402.json,FALSE,"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest.",history,arthur-cyr,"professor, Carthage College",Wisconsin,columnist,0,1,0,0,0,a Providence Journal commentary,
672,2879.json,half-true,"Low-flow toilets can cost homeowners up to $1,000 each.",environment,elaine-boyer,,,republican,0,0,1,1,0,a newspaper op-ed,
673,5892.json,FALSE,Jim Renacci voted repeatedly to end Medicare.,"health-care,medicare",betty-sutton,U.S. representative from Ohio's 13th District,Ohio,democrat,0,2,1,2,1,a campaign email,BettySutton
674,1294.json,mostly-true,"Sen. Joe Liebermans home state has a public option which covers about 10,000 of its citizens that was introduced by its Republican governor.","health-care,pundits",keith-olbermann,Political commentator,,none,0,2,3,2,0,'Countdown with Keith Olbermann',KeithOlbermann
675,3849.json,TRUE,"Says this months special session will cost the state $27,300 a day just for legislators daily living expenses.","government-efficiency,state-finances",jason-isaac,Transportation consultant,Texas,republican,2,0,1,0,1,a tweet,
676,7278.json,mostly-true,Wind powers nearly 13 million homes across the country.,environment,jennette-gayer,,,none,0,0,1,1,0,a news release,JennetteGayer
677,7701.json,mostly-true,Says businesses pay roughly 60 percent of taxes in Texas.,"state-budget,taxes",bill-hammond,"CEO, president, Texas Association of Business & Chambers of Commerce",Texas,republican,1,0,0,1,0,"a press conference with Gov. Rick Perry, April 15, 2013",NYHammond
678,1191.json,barely-true,Health insurance companies pay CEOs $24 million a year,"corporations,health-care",health-care-america-now,health care reform advocacy group,"Washington, D.C.",none,2,1,0,0,0,a television advertisement,
679,10844.json,half-true,Every president since Franklin Delano Roosevelt has had fast-track trade authority.,"congress,congressional-rules,foreign-policy,history,trade",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,"on CNN's ""State of the Union""",SpeakerRyan
680,13390.json,mostly-true,Says Donald Trump wants to deport our Dreamers.,immigration,priorities-usa-action,,,democrat,3,1,4,2,1,a TV ad,Mills_Gro6
681,11952.json,FALSE,Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.,"homeland-security,terrorism",glenn-grothman,"State Senator, 20th District",Wisconsin,republican,2,4,1,1,0,a radio interview,GrothmanforWI
682,5354.json,half-true,The majority of Americans are conservatives.,"corrections-and-updates,polls",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a speech at the CPAC conference,marcorubio
683,10487.json,mostly-true,Says a lawmaker seeks to defund Planned Parenthood for cutting children into small pieces.,abortion,miscellany-blue,Blog site,New Hampshire,democrat,0,0,0,1,0,a web post,
684,6162.json,half-true,Obama has racked up more debt than any president in history over $5 trillion.,"deficit,economy,federal-budget",jim-renacci,U.S. representative ,Ohio,republican,5,3,4,1,1,an online blog post,JimRenacci
685,12926.json,half-true,Says Arizona congressional candidate Ray Strauss is a Champion of Big Government for his votes to raise taxes while on the local city council.,taxes,sarah-palin,,Alaska,republican,9,19,9,6,6,a Facebook post,SarahPalinUSA
686,5256.json,half-true,Says with Gov. Chris Christie and bipartisan reformers New Jersey had the most job growth in 11 years.,"jobs,state-finances",committee-our-childrens-future,Political advocacy group,New Jersey,none,0,0,2,1,0,a video ad posted on YouTube,
687,3449.json,TRUE,Says Oregon is near the top or at the top of the list when it comes to capital gains tax,"state-budget,taxes",tobias-read,state representative,Oregon,democrat,0,0,0,0,0,a legislative hearing,TobiasRead
688,1411.json,TRUE,The No. 1 issue that the American people care about is getting America back to work.,"economy,health-care",john-cornyn,Senator,Texas,republican,5,3,6,2,1,a televised interview,
689,4983.json,FALSE,Says in 1944 we were in debt more than twice as much as we are now.,"deficit,economy,federal-budget",rush-holt,,,democrat,0,1,2,1,0,a telephone town hall meeting,
690,6459.json,mostly-true,Says Ronda Storms voted to fund the Taj Mahal courthouse.,"message-machine-2012,state-budget",rob-turner,Hillsborough County Property Appraiser,Florida,republican,0,0,0,1,0,a campaign mailer,ReynardCity
691,11665.json,mostly-true,"In France, they have a (surveillance) program a thousandfold more invasive than the United States.","homeland-security,terrorism",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7,8,10,12,3,an interview on NBC's 'Meet the Press',
692,13369.json,half-true,"One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.","candidates-biography,immigration,taxes",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a rally in Tampa, Fla.",HillaryClinton
693,959.json,TRUE,Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,economy,christina-romer,Chair of the president's Council of Economic Advisers,,democrat,0,0,0,0,0,an interview on Meet the Press.,
694,10333.json,mostly-true,"Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.","foreign-policy,nuclear",barack-obama,President,Illinois,democrat,70,71,160,163,9,"comments on CNN's ""State of the Union""",BarackObama
695,13382.json,FALSE,"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas.","corrections-and-updates,jobs",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a rally outside Cleveland,
696,1722.json,half-true,"Weve got a 1,000 National Guard troop request thats been in front of this president for over a year and no response.",immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,an interview with The Texas Tribune and Newsweek,SecretaryPerry
697,5808.json,FALSE,"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care","abortion,legal-issues,women",wisconsin-medical-society,,Wisconsin,none,0,1,0,0,0,an interview,
698,7125.json,TRUE,Says veterans disability claims backlog doubled in Obamas first term.,veterans,john-cornyn,Senator,Texas,republican,5,3,6,2,1,a tweet,
699,4862.json,barely-true,"At a minimum, 40 percent of those who view child pornography end up molesting children as a result.","children,crime",mike-dewine,Ohio attorney general,Ohio,republican,2,0,3,1,0,a news conference,MikeDeWine
700,13268.json,half-true,"In 67 different ways, Governor McCrory has raised taxes on middle income families.","economy,job-accomplishments,state-finances,taxes,workers",roy-cooper,Attorney General,North Carolina,democrat,1,0,3,1,0,a debate,RoyCooperNC
701,5368.json,mostly-true,Romney adviser admits Romneycare was blueprint for Obamacare.,"candidates-biography,health-care,message-machine-2012",rick-santorum,,Pennsylvania,republican,12,16,13,7,5,a television ad,RickSantorum
702,2641.json,pants-fire,Says Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.,"elections,taxes",chain-email,,,none,11,43,8,5,105,a chain e-mail.,
703,2787.json,barely-true,"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition.","campaign-finance,voting-record",friends-voter-owned-elections,political group,Oregon,none,1,0,0,0,0,a statement,
704,13464.json,FALSE,The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,elections,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet,
705,8885.json,TRUE,Some businesses in Oregon are having to shrink back their businesses as a result of the law.,"corrections-and-updates,health-care",monica-wehby,Pediatric neurosurgeon,Oregon,republican,0,3,0,0,0,a town meeting in La Grande,
706,13218.json,pants-fire,Says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument.,climate-change,rush-limbaugh,Radio host,,none,9,11,5,2,10,a radio show broadcast,rushlimbaugh
707,2302.json,half-true,"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",health-care,david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,an editorial board meeting with the Austin American-Statesman,DavidHDewhurst
708,12184.json,mostly-true,I have 2 and a half million more votes than he (Sanders) does.,elections,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"an interview on ABC's ""the View""",HillaryClinton
709,5919.json,FALSE,On abortion,"abortion,corrections-and-updates",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,various statements,MittRomney
710,3820.json,pants-fire,Members of Congress receive full pay retirement after serving one term.,"federal-budget,income,public-service,retirement,social-security",chain-email,,,none,11,43,8,5,105,a message via the Internet,
711,4293.json,mostly-true,"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than $2 billion.","economy,new-hampshire-2012,state-budget,state-finances",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,"a speech to a Manchester, N.H. Rotary club",MittRomney
712,7654.json,FALSE,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",abortion,americans-united-life,,"Washington, D.C.",organization,0,1,0,0,0,a committee hearing on SB 1636,
713,5590.json,FALSE,Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,"crime,families,women",rod-monroe,State Senator,Oregon,democrat,0,2,0,0,0,a floor speech.,SenatorMonroe
714,7723.json,mostly-true,"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores.","economy,income,jobs,labor,workers",ed-fitzgerald,Cuyahoga County executive,Ohio,democrat,1,1,0,1,0,a campaign speech,
715,3478.json,TRUE,The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.,science,joel-keehn,,,none,0,0,0,0,0,a blog,jkeehn
716,9547.json,half-true,David Perdue said hed raise taxes.,taxes,jack-kingston,U.S. Representative,Georgia,republican,3,1,4,3,0,television ad,JackKingston
717,8545.json,FALSE,I am the first Latina to run for governor of Texas.,"candidates-biography,diversity,elections,history",miriam-martinez,Journalist,Texas,republican,0,1,0,0,0,her campaign website,miriam__lisset
718,7709.json,FALSE,Says Every legislative district in the state has at least one craft brewery and countless home brewers.,"Alcohol,economy",mark-johnson,,,republican,0,1,0,0,0,a floor speech,
719,8179.json,barely-true,"Wisconsins criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony.","Alcohol,criminal-justice,state-budget,transportation",alberta-darling,"State Senator, 8th District",Wisconsin,republican,1,1,2,1,1,legislative testimony,SenDarling
720,2106.json,FALSE,"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",education,ted-strickland,Former Ohio governor,Ohio,democrat,2,6,7,4,1,a campaign speech,Ted_Strickland
721,7142.json,mostly-true,"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.","education,poverty",dan-micciche,Lawyer,Texas,none,0,0,0,1,0,an opinion article in the Dallas Morning News.,DanforDISD
722,6016.json,mostly-true,"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.","economy,job-accomplishments",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,a speech at Keene State College,JoeBiden
723,10627.json,FALSE,"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset.","bush-administration,foreign-policy,terrorism",sean-hannity,Radio/TV host,,none,3,5,3,2,1,remarks on Fox's Hannity,seanhannity
724,4861.json,FALSE,"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",religion,john-depetro,Talk-show host,Rhode Island,talk-show-host,0,3,0,0,3,a talk-show discussion,
725,5460.json,TRUE,Rhode Island has the the second-most heavily deployed National Guard in the United States.,"afghanistan,iraq,military,states",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech,SenWhitehouse
726,12391.json,pants-fire,"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",education,wisconsin-jobs-now,,Wisconsin,none,0,0,0,0,1,a Facebook posting.,
727,12420.json,half-true,"SaysVirginia RepublicanScott Taylor has been convicted in at least four different courts across the country, at times failing to even appear, and having a warrant issued for his arrest.",campaign-advertising,randy-forbes,Representative,Virginia,republican,1,0,4,3,0,a campaign flier,Randy_Forbes
728,8850.json,mostly-true,Nearly 90% of Travis County government races will be settled by the time of the Democratic primary.,"county-government,elections",wayne-thorburn,,,republican,0,0,0,1,0,an opinion column in the Austin American-Statesman,waynethorburn
729,11995.json,FALSE,"Says Mahatma Gandhi once said, First they ignore you, then they laugh at you, then they fight you, then you win.",history,donald-trump,President-Elect,New York,republican,63,114,51,37,61,an Instagram meme,
730,8881.json,half-true,"Savings that I achieved helped fund cameras on the border. As a result, more than 21,500 arrests have been made and 46 tons of narcotics confiscated.","crime,immigration,state-budget,state-finances",todd-staples,state agriculture commissioner,Texas,republican,0,1,4,3,1,a campaign email blast,
731,1630.json,mostly-true,The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,health-care,tom-coburn,U.S. Senator,Oklahoma,republican,2,3,3,2,0,comments to reporters,
732,7133.json,mostly-true,Says the number of Americans living at or below the poverty line is at its highest level since 1964.,poverty,barbara-buono,State Senator,New Jersey,democrat,3,1,4,4,1,a speech on the Senate floor,
733,7798.json,barely-true,The IRS will have the ability potentially to deny or delay health care.,"health-care,taxes",michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,"an interview on Fox News' ""On the Record"" with Greta Van Susteren",MicheleBachmann
734,3783.json,barely-true,"Deregulation of the states telecommunications industry will create 50,000 jobs in Wisconsin.",jobs,rich-zipperer,"State Senator, District 33",Wisconsin,republican,1,0,0,0,0,interviews and testimony about the bill,zipperer_rich
735,12938.json,mostly-true,"We admit about 100,000 permanent immigrants from the Middle East every year.",immigration,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"a speech in Youngstown, Ohio",
736,7793.json,mostly-true,Says paid family leave is a program that is standard in all but five nations around the world.,"children,families,labor,women,workers",family-forward-oregon,,,organization,0,0,0,1,0,a flier,
737,4627.json,FALSE,"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",jobs,mark-miller,"State Senator, District 16",Wisconsin,democrat,1,1,0,0,0,a news release,RetireRevised
738,5400.json,pants-fire,"Says in the last 20 years, the French have not stood by the United States on foreign policy.","foreign-policy,history,military",rick-santorum,,Pennsylvania,republican,12,16,13,7,5,a campaign event,RickSantorum
739,4875.json,TRUE,"For the average middle-class family, your taxes today are lower than when I took office.","job-accomplishments,taxes",barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech in Scranton, Pa.",BarackObama
740,1867.json,half-true,"There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.","agriculture,federal-budget",george-lemieux,,Florida,republican,4,1,6,4,0,a meeting with the St. Petersburg Times editorial board.,George_LeMieux
741,12652.json,pants-fire,Says Attorney General Loretta Lynch was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.,"candidates-biography,crime,criminal-justice,history",viral-image,,,none,5,5,0,3,15,a posting on Twitter,
742,13453.json,pants-fire,"Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.","diversity,islam",social-media,,,none,0,0,0,0,2,a viral Tweet,
743,538.json,mostly-true,"Barack Obama ""passed laws moving people from welfare to work.""",poverty,barack-obama,President,Illinois,democrat,70,71,160,163,9,a television ad,BarackObama
744,5965.json,mostly-true,"Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.","corrections-and-updates,economy,federal-budget,history,stimulus",facebook-posts,Social media posting,,none,14,18,15,11,36,on the Internet,
745,6274.json,mostly-true,Says President Barack Obama promised a pathway to citizenship to undocumented immigrants and didnt deliver jack squat on any of it.,"children,families,homeland-security,immigration",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2,12,8,3,1,an interview,Reince
746,11648.json,mostly-true,California has robust job growth that outpaces the rest of the nation.,"climate-change,economy,energy,jobs",kevin-de-leon,California Senate leader,California,democrat,0,0,0,3,0,a press release,
747,1437.json,half-true,"The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.",federal-budget,bob-mcdonnell,Governor,Virginia,republican,6,5,7,6,3,the Republican response to the State of the Union,BobMcDonnell
748,1910.json,half-true,"The minute this proposal for near-beach oil drilling came up, I was against it.",oil-spill,alex-sink,,Florida,democrat,1,2,2,4,0,a speech,
749,9295.json,half-true,The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,environment,dan-kaufman,,,none,0,0,1,1,0,an opinion article,DarpaDan
750,2358.json,barely-true,"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico.","immigration,message-machine",susana-martinez,Candidate for governor of New Mexico,New Mexico,republican,1,0,1,0,0,a campaign ad,Gov_Martinez
751,9576.json,TRUE,"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States.","children,human-rights,immigration",henry-cuellar,U.S. Representative,Texas,democrat,1,0,0,0,0,"an interview on CNN's ""State of the Union""",
752,5716.json,TRUE,"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.",energy,robert-menendez,U.S. Senator,New Jersey,democrat,1,3,1,3,0,a video posted on YouTube,
753,13434.json,TRUE,Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.,"congress,congressional-rules,ethics,legal-issues,voting-record",deborah-ross,Democratic candidate for U.S. Senate,North Carolina,democrat,0,0,3,0,0,a debate,DeborahRossNC
754,11079.json,pants-fire,Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple,"diversity,legal-issues,marriage",blog-posting,,,none,7,19,3,5,44,a headline on the website NewsExaminer,
755,5487.json,mostly-true,Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.,"education,guns,public-safety,states",glenford-shibley,Retired,Rhode Island,republican,0,0,0,1,0,a news release,
756,6841.json,mostly-true,Says the United States has the highest corporate tax rate in the world.,"corporations,taxes",joseph-kyrillos,State Senator,New Jersey,republican,3,3,2,2,1,a debate on NJTV,Jmansourk
757,12457.json,FALSE,"It was allowed, referring to her email practices.","homeland-security,technology",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview on ABC,HillaryClinton
758,1467.json,TRUE,The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',economy,judd-gregg,U.S. Senator,,republican,0,0,0,1,0,a Senate budget hearing,
759,13039.json,FALSE,"Our veterans, in many cases, are being treated worse than illegal immigrants.","immigration,veterans",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech in Philadelphia,
760,6565.json,half-true,Says Paul Ryan tried to change the whole game for Social Security,"federal-budget,message-machine-2012,retirement,social-security",barack-obama,President,Illinois,democrat,70,71,160,163,9,a radio ad,BarackObama
761,13321.json,barely-true,"Says Rob Portman was a registered foreign agent whose client was Haiti, at a time when the Baby Doc, Duvalier, who was a despot, was killing people.","corrections-and-updates,foreign-policy",ted-strickland,Former Ohio governor,Ohio,democrat,2,6,7,4,1,the U.S. Senate debate in Cleveland,Ted_Strickland
762,10645.json,pants-fire,Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable.,energy,americans-prosperity-florida,advocacy group,Florida,none,2,0,0,0,1,a news release,
763,9123.json,barely-true,Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.,"foreign-policy,legal-issues",facebook-posts,Social media posting,,none,14,18,15,11,36,viral posts on the Internet,
764,8348.json,mostly-true,"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.",immigration,lamar-smith,Congressman,Texas,republican,2,5,1,3,0,a flier mailed to constituents,LamarSmithTX21
765,7960.json,half-true,Not one tax has been raised since Ive been governor.,taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,"an interview on the ""Ask The Governor"" monthly radio call-in program",ChrisChristie
766,2857.json,TRUE,"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.","federal-budget,infrastructure,transportation",ohio-department-transportation,,Ohio,none,0,0,0,0,0,a news release,
767,6771.json,TRUE,A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,"federal-budget,foreign-policy",barry-hinckley,,Rhode Island,republican,0,4,1,2,2,a story on 630WPRO.com,BarryHinckley
768,1149.json,FALSE,We spend twice as much per capita on health care as any other nation on Earth.,health-care,bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,an appearance on the Rachel Maddow Show,
769,1479.json,FALSE,Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,a debate,SecretaryPerry
770,8531.json,TRUE,Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,elections,george-will,Columnist,Maryland,columnist,7,6,3,5,1,"comments on Fox's ""Fox News Sunday""",
771,8473.json,FALSE,Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,"health-care,privacy,technology",joe-barton,U.S. Representative,Texas,republican,3,1,0,0,0,a Fox News interview,RepJoeBarton
772,1509.json,mostly-true,One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,health-care,jon-kyl,U.S. Senator,Arizona,republican,0,2,4,3,0,an interview on Fox News,
773,3749.json,barely-true,Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.,afghanistan,david-cicilline,mayor of Providence,Rhode Island,democrat,7,4,5,4,1,a radio interview,davidcicilline
774,313.json,half-true,The average American is working through the month of May just to pay off the government.,taxes,mike-huckabee,author,Arkansas,republican,12,5,9,3,4,a debate in Boca Raton.,
775,12623.json,half-true,Says Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.,"campaign-finance,guns,voting-record",americans-responsible-solutions,,,none,1,0,1,2,0,an ad,
776,432.json,half-true,"Barack Obama's network of small donors constitutes a ""parallel public financing system.""",ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,"Washington, D.C.",BarackObama
777,7769.json,FALSE,"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.","children,crime,criminal-justice",peter-palumbo,State Representative,Rhode Island,democrat,3,1,1,0,0,a House Finance Committee hearing,PetiePal
778,5734.json,half-true,"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.","income,jobs,states,taxes",bettylou-decroce,,,republican,0,0,1,0,0,n opinion column in the Gloucester County Times,BLDeCroce4NJ
779,10798.json,FALSE,"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",military,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a speech at the Iowa Faith and Freedom Summit,marcorubio
780,10857.json,FALSE,"Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.","federal-budget,military,taxes",ted-cruz,Senator,Texas,republican,36,33,15,19,8,a roundtable with Texas businesses,tedcruz
781,4910.json,mostly-true,"They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a speech at Notre Dame's law school,ChrisChristie
782,2360.json,half-true,"I can put 10,000 people to work. Electricians, plumbers, sheet metal workers -- by retrofitting all of the state buildings for energy independence or efficiency.",energy,roy-barnes,Attorney,Georgia,democrat,0,0,3,3,1,a campaign ad,
783,2212.json,TRUE,Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.,trade,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a statement,
784,4485.json,TRUE,The city of Atlanta has either the highest or second-highest average water bills in the country.,"taxes,water",carla-smith,,,none,0,0,0,0,0,a meeting,JLA_President
785,5128.json,barely-true,"Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting.","candidates-biography,message-machine-2012",winning-our-future,,,none,2,2,3,1,0,"the video, ""When Mitt Romney Came to Town""",WinOurFuture
786,12922.json,barely-true,Roy Coopers refusal to do his job is costing taxpayers money.,"ethics,legal-issues,public-service,states",pat-mccrory,Governor of North Carolina,North Carolina,republican,5,2,3,0,1,a press release,PatMcCroryNC
787,13269.json,mostly-true,"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.",foreign-policy,mike-pence,Governor,Indiana,republican,8,10,12,5,0,"comments on ""Meet the Press""",mike_pence
788,1506.json,TRUE,Speaker Rubio supported gun restrictions that included background checks and waiting periods.,guns,charlie-crist,,Florida,democrat,15,9,20,19,2,a news release,CharlieCrist
789,11348.json,mostly-true,Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years.,"city-budget,city-government,economy,jobs",don-zimmerman,Computer systems,Texas,republican,2,0,0,1,0,an Austin City Council meeting,
790,1791.json,half-true,"She (Kagan) took money from Goldman Sachs just like her boss, Obama.","campaign-finance,kagan-nomination,pundits,supreme-court",michael-savage,,,none,0,0,1,0,1,his website,ASavageNation
791,9204.json,FALSE,Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,"children,diversity,education",betsy-miller-jones,Oregon School Boards Association executive director,Oregon,none,0,1,0,0,0,a newsletter,
792,3010.json,TRUE,We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.,"economy,job-accomplishments,jobs",ted-strickland,Former Ohio governor,Ohio,democrat,2,6,7,4,1,an interview with The Plain Dealer,Ted_Strickland
793,562.json,FALSE,"Barack Obama wants to ""unilaterally disarm our nation.""",military,chain-email,,,none,11,43,8,5,105,a chain e-mail,
794,2860.json,FALSE,On an earmark moratorium.,federal-budget,kay-bailey-hutchison,U.S. Senator,Texas,republican,2,4,4,3,0,a statement,kaybaileyhutch
