,speaker,twitter_handle
2949,milly silva,MillySilva
2950,jeff scrima,jscrima
2951,john birch society,The_JBS
2952,jon bramnick,JonBramnick
2953,anna kooiman,annakooiman
2954,virginia center public safety,
2955,clean water portland,OCSDW
2956,gen peter chiarelli,
2957,jeff mullis,1_v_1ME
2958,association mature american citizens,
2959,dave claunch,DaveClaunch
2960,mike cernovich,Cernovich
2961,richard paglia,
2962,john murtha,
2963,lisa tomasso,Lisa_Tomasso
2964,stephen laffey,stephenlaffey
2965,sid covington,SidCovington
2966,city austin,
2967,national federation independent business wiscons,
2968,edd houck,eddhouck
2969,anastasia williams,ARoyalOne
2970,thomas melsheimer,TomMelsheimer
2971,Rhode_Island_Catholic,
2972,childrens healthcare atlanta,
2973,delia lopez,
2974,political insider,
2975,charles krauthammer,krauthammer
2976,troy fraser,
2977,james oneil,JamesEONeil2
2978,adrian garcia,AdrianGarciaHTX
2979,tyrone brooks,tbrooksBIN
2980,david wyss,
2981,gwyneth paltrow,GwynethPaltrow
2982,stephen ucci,stephen_ucci
2983,peter lavelle,PLCROSSTALK
2984,edwin pacheco,
2985,dan sebring,SebringDan
2986,unicef,UNICEF
2987,campaign primary accountability,
2988,erin lynch,ErinALynch
2989,conservative voters texas pac,
2990,deborah gist,deborahgist
2991,kathleen angelucci,Cobbedutweet
2992,juda engelmayer,judae
2993,mario gallegos,MarioGallegosHF
2994,bob,bobsaget
2995,dan pfeiffer,danpfeiffer
2996,kurt schuller,schuller53rd
2997,miguel diaz de la portilla,
2998,brian wilson,BrianWilsonLive
2999,Local 799 international assoc fire fighters,
3000,doug ainge,dougainge
3001,anonymous flier,
3002,georgia democrats,
3003,warren kampf,KampfWarren
3004,thaddeus mccotter,ThadMcCotter
3005,yes 55,
3006,julian assange,
3007,ed macdougall,
3008,peter courtney,
3009,mike ford,Mike7Ford
3010,ron meyer,Ron4VA
3011,viral media reports,
3012,john taylor 2,
3013,bob terry,
3014,rebecca quigley,RQuig3605
3015,ann marie buerkle,AMBCPSC
3016,vietnam veterans against john mccain,
3017,piers morgan,piersmorgan
3018,keisha lance bottoms,KeishaBottoms
3019,susan cole,
3020,dennis hastert,SpeakerHastert
3021,michael adams,MickeyAdamsGM
3022,kriner cash,
3023,espn,espn
3024,metro,MetroUK
3025,paul wolfowitz,
3026,rick scotts starbucks heckler,
3027,hank huckaby,
3028,oregon catalyst,oregoncatalyst
3029,larry yarborough,
3030,colorado health institute,COHealthInst
3031,brian deese,DeeseOMB
3032,dbanj,
3033,rene garcia,
3034,americans safe access,
3035,new jersey state afl cio,
3036,spencer bachus,BachusAL06
3037,talgo inc,
3038,representus,representus
3039,barney bishop,Barney_Bishop
3040,greg morris,juicedageneral
3041,teresa fedor,teresa_fedor
3042,bill jackson,
3043,eric fehrnstrom,EricFehrn
3044,michael needham,MikeNeedham
3045,texas federation republican women,
3046,lisa hamler fugitt,LisaHF1
3047,chuck riley,
3048,meals wheels rhode island,
3049,karen huber,karenohuber
3050,grover fugate,
3051,john nygren,rep89
3052,ron bergeron,
3053,eve schatelowitz alcantar,
3054,salmon all,
3055,anonymous cyber squatter,
3056,city beaverton,
3057,georgia politicians,
3058,barry bone,
3059,voters first ohio,votersfirstohio
3060,alicia menendez,AliciaMenendez
3061,paul saldana,psaldana52
3062,russ girling,breeanabessi
3063,mike mccabe,
3064,oxfam america,OxfamAmerica
3065,charles ramsey,
3066,joee lindbeck,lindbeck24
3067,john faulk,john__faulk
3068,generation forward pac,
3069,david prosser,David_Prosser
3070,jonathan turley,JonathanTurley
3071,oregon department agriculture,
3072,jason haas,jhaas
3073,phil burress,
3074,georgia house democratic caucus behalf elena paren,
3075,mark belling,MarkBellingShow
3076,campaign money watch,cmoneywatch
3077,mark harris,MarkHarrisNC9
3078,karen sage,
3079,your choice colorado,YourChoiceCO
3080,matt wuerker,wuerker
3081,wisconsin working families party,
3082,james quintero,JamesQuinteroTX
3083,paul hipp,paulhipp
3084,todd young,ToddYoungIN
3085,suzanne somers,SuzanneSomers
3086,ann lininger,annlininger
3087,tom grady,
3088,marish agana,
3089,kevin russell,
3090,family foundation,
3091,ellen qualls,QuallsComm
3092,bob cole,
3093,j jacobs,
3094,tom wolf,TomWolfPA
3095,stephen simpson,Stevoo7
3096,alan bates,
3097,phyllis schlafly,PhyllisSchlafly
3098,jack markell,
3099,john mccallum,HonJohnMcCallum
3100,clarence thomas,
3101,hugh fitzsimons,HughAFitzsimons
3102,menendez facts,MenendezFacts
3103,mackubin thomas owens,
3104,andy berke,AndyBerke
3105,steve henson,SteveHenson
3106,margaret carlson,carlsonmargaret
3107,john barrow,
3108,mark sharpe,MarkSharpe39kFT
3109,philadelphia daily news,
3110,consumers smart solar,
3111,peter roskam,PeterRoskam
3112,george packer,
3113,ohio coal association,
3114,joseph chiusolo,josephchiusolo
3115,ken lanci,KenALanci
3116,james durkan,jdurkan91
3117,william devereaux,
3118,joe pennacchio,
3119,occupy wall street,OccupyWallStNYC
3120,jonathan boucher,jonbouch
3121,h marlene otoole,
3122,bill burton,billburton
3123,edward snowden,Snowden
3124,nikema williams,
3125,rick allen,rickallenlive
3126,coalition save memorial hospital birthing center p,
3127,jane norton,JaneKitbag
3128,mark assini,markassini
3129,ted lyon,
3130,arian foster,
3131,keith ellison,keithellison
3132,andre jacque,
3133,michael solomon,Mister_Solomon
3134,russia today,
3135,ted yoho,RepTedYoho
3136,true vote,
3137,james jolly,jamesjolly
3138,nancy gordeuk,principalracist
3139,lisa moore,
3140,ron book,
3141,jeff amason,AmasonJeff
3142,mason tvert,MasonTvert
3143,jessica ehrlich,JessEhrlich
3144,joseph fernandez,JoeFernz
3145,matt patten,IowaMatt72
3146,georgians bernie sanders president,
3147,florida police benevolent association,
3148,tom mccarey,tommccarey
3149,gary george,
3150,doug holder,
3151,jason villalba,JasonVillalba
3152,organizing action,
3153,chris cummiskey,chrispatc
3154,jennifer williamson,Jennifer_for_OR
3155,young gifted and black coalition,
3156,patrick rose,
3157,diane ravitch,DianeRavitch
3158,michael oneill,
3159,patriot majority pac,
3160,friends miami first,
3161,jean casarez,JeanCasarezCNN
3162,sonny perdue,
3163,patty judge,pattyforiowa
3164,jeff weaver,
3165,keep austin healthy pac,
3166,michael m crow,
3167,cover oregon,
3168,friends plum beach lighthouse,
3169,h ford gravitt,
3170,new boston republican committee,NBRCORG
3171,jackie dingfelder,jdpdx1
3172,kirsten powers,KirstenPowers
3173,mike hashimoto,MikeHashimoto
3174,tim moore,
3175,john kennedy,SenJohnKennedy
3176,jimmie t smith,
3177,sander levin,
3178,cynthia meyer,cynthiameyer_FF
3179,kyle williams,KyleWilliams_10
3180,fresh start pa,
3181,ron christie,Ron_Christie
3182,childrens defense fund texas,
3183,americans strong defense,
3184,marie ghazal,marielghazal
3185,usain bolt,
3186,Jack_Graham,
3187,jeff bridges,TheJeffBridges
3188,freedom pac,
3189,charles kuck,ckuck
3190,americanpoliticnews,
3191,yes 8,
3192,larry oconnor,
3193,kanye west,
3194,john hutson,johnhutson
3195,clayton county schools,CCPSArtsLife
3196,larry gause,
3197,virginia interfaith center public policy,
3198,brian stelter,brianstelter
3199,bob king,BKingDC
3200,tammy hall,
3201,bill fischer,
3202,kimberly nelson,
3203,michael skolnik,MichaelSkolnik
3204,martin shkreli,
3205,florida news flash,FLNewsFlash
3206,jeremy kapstein,JeremyKapstein
3207,clackamas county democrats,
3208,peggy lehner,peggylehner
3209,ginny burdick,
3210,ted jackson,
3211,commonwealth institute,
3212,todd starnes,
3213,kendra yarbrough camarena,
3214,michael rosen,MichaelRosenYes
3215,wayne smith,VaultWayne
3216,robert uithoven,ruithoven
3217,tere mccann,teremccann
3218,david mellon,
3219,bryan kennedy,xbryanx
3220,russell edwards,
3221,ralph long,
3222,r2rmerge,
3223,samuel demaio,AccuproRoofing
3224,future45,
3225,limberbutt mccubbins,Limberbutt2016
3226,police chief billy grogan,
3227,joseph yost,
3228,bill clegg,
3229,jay roberts,
3230,deirdre imus,TheGreenDirt
3231,jersey central power light,
3232,oregon pta,oregonpta
3233,allie mccullen,alliemccullen
3234,cat pac,
3235,talmadge heflin,TalmadgeHeflin
3236,ben ferguson,benfergusonshow
3237,stephen carter,carter_AB
3238,ohio alliance retired americans,
3239,phil berger,
3240,matt mcgrath,MattMcGrathBBC
3241,russell brand,rustyrockets
3242,martha robertson,MarthaRDryden
3243,ash williams,ashwilliams1
3244,jeff duncan,
3245,political line,
3246,shaun ireland,Ireland1836
3247,joe davis sr,
3248,albert papp jr,
3249,jack keane,gen_jackkeane
3250,james cenerini,
3251,scott mccown,CScottMcCown
3252,diane mckeel,dianemckeel
3253,raging elephants,
3254,bill ratliff,billrat365
3255,steve cannon,SteveCannonCEO
3256,steve phelps,stevephelps
3257,katie pavlich,KatiePavlich
3258,tom pauken,TomPauken
3259,foundation floridas future,
3260,pari sabety,PSabety
3261,john yarmuth,
3262,baby got pac,BabyGotPac
3263,13th district gop slate,
3264,liberty counsel,libertycounsel
3265,matt mccall,CoachMattMcCall
3266,georgia campaign liberty,
3267,patrick wales,pjwd_
3268,kevin bloye,
3269,mark omara,
3270,peoples majority,
3271,ron hood,
3272,allan ritter,RepAllanRitter
3273,david cullen,
3274,senate democrats,SenateDems
3275,christine radogno,Christineradog1
3276,frank keating,
3277,rick hardcastle,SteelString
3278,pat buchanan,
3279,gail buckner,
3280,daniel lipinski,
3281,alan essig,AlanEssig
3282,gary kelly,gary_kelly
3283,vincent prieto,
3284,bill mcraven,billmcraven
3285,rebecca blank,
3286,john whitmire,whitmire_john
3287,steve deace,SteveDeaceShow
3288,john stossel,JohnStossel
3289,michael cerullo,
3290,maureen dowd,maureendowd
3291,chris chocola,ChrisChocola
3292,joshua henne,
3293,joel kleefisch,KleefischJoel
3294,valarie wilson,ValForEducation
3295,hank williams jr,
3296,bob kincaid,
3297,vicki mckenna,VickiMcKenna
3298,francis kungu,franciskungu73
3299,daniel senor,
3300,florida wildlife federation,
3301,john sherman,
3302,nancy nusbaum,go4justice
3303,julie parrish,hotcouponmama
3304,mike mcfadden,MUTGuru
3305,bob latta,
3306,thomas lindsay,
3307,brad rockwell,BradRockwell808
3308,tomorrows vision florida,
3309,sal esquivel,
